Label,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,LBP_Mean,LBP_SD,LBP_PCA,Gabor Energy,Contour Area,Perimeter,Circularity,Aspect Ratio,Eccentricity,Solidity,Convexity,Extent,Hu_PCA,Edge Count,Curvature,Num Corners
22,16252.286102362203,1.52587890625e-05,9.388216070522567e-10,1.4701316401349794e-05,-0.02320675914595134,23.902099609375,1.5384721750188202,-0.0979003906249243,1.1085514322916667,2014.5,4032.361055612564,0.0015568913737692449,0.0,0.0,0.04820992676973149,0.04820992676973149,1007.25,0.0,1573,0.00024799366579739173,4
22,16252.350964566931,1.52587890625e-05,9.388175675149534e-10,1.4706313672079104e-05,-0.02320510468349845,23.902047526041667,1.5348676569345558,-0.0979524739582946,1.0995638020833334,1970.5,3968.9640879631042,0.0015719255193979433,0.0,0.0,0.04632383191301793,0.04632383191301793,1970.5,0.0,1577,0.00025195491262638406,6
22,16252.355761154853,1.52587890625e-05,9.38817437577551e-10,1.4709263450069044e-05,-0.023204115850819627,23.90357421875,1.523064511506432,-0.09642578124993345,1.0775065104166666,2019.0,4066.2605508565903,0.0015344607236564838,0.0,0.0,0.045949544259720754,0.045949544259720754,2019.0,0.0,1612,0.00024592619865181585,6
22,16252.242683727034,1.5258789062499997e-05,9.388241305805773e-10,1.4689540304606699e-05,-0.023202297383918793,23.898844401041668,1.5578572583865677,-0.10115559895843981,1.144931640625,2054.5,4068.7042021751404,0.0015595660577795184,2.5401124412086964,0.919246110818683,0.04616957684442347,0.04616957684442347,171.20833333333334,0.0,1613,0.00024577849612793115,6
22,16252.408372703412,1.52587890625e-05,9.388141827360167e-10,1.4702795706174298e-05,-0.023200892833005627,23.901484375,1.5393816009351047,-0.09851562499996874,1.065703125,2023.5,4025.7925151586533,0.0015689543101658425,0.0,0.0,0.04536995515695067,0.04536995515695067,337.25,0.0,1633,0.00024839829579756444,6
22,16252.273487532811,1.52587890625e-05,9.388222166139728e-10,1.4693453531005557e-05,-0.02319988687898334,23.89889973958333,1.558200363483576,-0.10110026041666313,1.1336393229166666,1988.0,4027.3488636016846,0.0015402376715441981,0.0,0.0,0.04359983770684153,0.04359983770684153,994.0,0.0,1654,0.00024830230354211066,4
22,16252.247775590551,1.52587890625e-05,9.388237555643468e-10,1.4681218229216e-05,-0.023197453845964375,23.89513671875,1.5852735517607526,-0.10486328124991395,1.11419921875,1959.0,4143.858529448509,0.0014336213482369815,0.0,0.0,0.04189657384832542,0.04189657384832542,1959.0,0.0,1679,0.00024132097968438277,6
22,16252.628727034118,1.5258789062499998e-05,9.388011431846311e-10,1.4731353655329283e-05,-0.02319983010821289,23.90724609375,1.495125619847833,-0.09275390624993209,1.0003515625,1689.0,3923.5843646526337,0.0013787118969888661,0.0,0.0,0.03556351002789914,0.03556351002789914,844.5,0.0,1638,0.0002548689940272338,6
22,16252.314087926508,1.52587890625e-05,9.388196828767285e-10,1.4688861315557584e-05,-0.023198579949765378,23.900185546875,1.5515075722736116,-0.09981445312495182,1.109091796875,1848.5,4159.81689953804,0.00134239674078063,0.0,0.0,0.037888803484499106,0.037888803484499106,1848.5,0.0,1626,0.00024039519626718495,6
22,16252.24316929134,1.5258789062499998e-05,9.38824021294348e-10,1.469199101465226e-05,-0.023203358306464843,23.898483072916665,1.5617770130577404,-0.1015169270833338,1.1477701822916666,1880.5,4133.983420372009,0.001382756602105996,0.0,0.0,0.03802715792240882,0.03802715792240882,313.4166666666667,0.0,1593,0.00024189743845417065,6
22,16252.383845144359,1.5258789062499998e-05,9.388157356532599e-10,1.4702101298204558e-05,-0.02319875656994009,23.902473958333335,1.5331261038686599,-0.09752604166674876,1.1035091145833333,1788.5,4289.758025407791,0.0012213305419936818,0.0,0.0,0.036266488223783595,0.036266488223783595,1788.5,0.0,1645,0.0002331133817052393,6
